#4
childhands (MATRIX,true,)-hand|NOMINAL,look|NOMINAL
00:01:02:960,00:01:05:046,(right,0)
00:01:19:206,00:01:38:818,(both,1)
00:02:01:687,00:03:43:706,(,0)
00:11:30:746,00:12:18:933,(right,0)
00:12:28:904,00:13:49:683,(left,)
00:14:34:647,00:16:36:552,(both,1)
00:17:53:755,00:17:55:349,(left,0)
00:17:55:416,00:18:18:630,(left,0)
00:18:19:359,00:18:59:598,(,0)
00:19:50:354,00:19:59:955,(both,0)
00:20:05:311,00:21:49:357,(,1)
00:22:05:986,00:22:33:225,(,1)
00:22:41:091,00:24:35:273,(right,0)
00:29:37:614,00:29:48:228,(left,)
00:30:53:415,00:31:18:814,(right,0)
00:33:27:530,00:34:13:000,(,)
00:34:13:831,00:34:17:271,(both,1)
00:34:49:433,00:35:24:726,(right,0)
00:36:03:038,00:37:30:882,(,0)
00:37:52:898,00:38:08:125,(left,1)
00:38:55:575,00:40:56:807,(,1)
00:42:17:052,00:43:18:367,(both,1)
00:43:37:993,00:44:40:309,(right,1)
00:44:51:627,00:46:10:061,(right,)
00:47:32:447,00:47:56:228,(both,0)
00:48:04:031,00:48:18:599,(right,0)
00:49:07:546,00:51:23:641,(right,)
00:51:59:777,00:52:18:625,(both,0)
00:52:34:660,00:52:43:495,(both,1)
00:52:49:610,00:54:22:446,(both,)
00:55:07:636,00:55:57:959,(,)
00:57:08:908,00:57:49:293,(both,)
00:58:21:300,00:59:55:071,(right,)
parenthands (MATRIX,true,)-hand|NOMINAL,look|NOMINAL
00:00:43:536,00:00:59:803,(left,0)
00:01:16:849,00:01:21:681,(left,)
00:01:26:395,00:01:32:081,(right,0)
00:01:39:979,00:01:49:206,(left,1)
00:01:59:658,00:02:00:765,(both,0)
00:02:01:549,00:02:04:594,(,0)
00:02:06:606,00:02:26:957,(both,0)
00:02:41:018,00:02:45:472,(both,1)
00:02:52:764,00:03:39:406,(both,1)
00:03:46:814,00:05:07:455,(,0)
00:05:15:781,00:05:17:943,(,)
00:05:36:510,00:06:09:563,(right,1)
00:06:43:775,00:09:09:681,(both,)
00:11:04:399,00:11:44:940,(both,1)
00:12:27:549,00:12:30:518,(both,)
00:12:38:380,00:13:25:956,(right,)
00:14:32:651,00:14:33:417,(both,)
00:14:43:528,00:14:56:000,(both,)
00:14:56:229,00:15:19:302,(left,0)
00:15:58:464,00:15:59:350,(,0)
00:16:00:185,00:16:07:309,(left,)
00:16:08:108,00:16:08:268,(left,1)
00:16:08:273,00:16:12:049,(,)
00:16:15:401,00:16:34:694,(both,)
00:17:16:588,00:17:22:820,(left,)
00:17:23:477,00:17:31:874,(right,0)
00:17:34:807,00:17:35:096,(both,1)
00:17:37:239,00:17:38:429,(both,1)
00:17:41:575,00:17:51:151,(both,)
00:17:53:487,00:17:53:591,(both,0)
00:17:54:489,00:17:56:310,(right,0)
00:17:56:361,00:17:57:041,(both,1)
00:18:08:205,00:18:17:190,(both,0)
00:18:24:810,00:18:25:479,(right,)
00:18:34:765,00:18:35:943,(right,1)
00:18:41:737,00:18:52:287,(both,)
00:19:01:154,00:19:07:987,(both,)
00:19:41:214,00:19:58:402,(both,)
00:20:06:978,00:20:50:915,(both,)
00:20:51:766,00:20:56:722,(left,0)
00:20:59:994,00:21:01:551,(left,1)
00:21:12:197,00:21:29:799,(,)
00:21:32:943,00:21:36:491,(both,1)
00:21:38:177,00:21:46:827,(both,)
00:21:51:342,00:21:53:400,(left,0)
00:23:37:930,00:23:40:280,(,0)
00:23:46:630,00:23:51:456,(right,1)
00:24:10:974,00:25:14:913,(,)
00:25:17:222,00:26:09:320,(left,0)
00:26:11:606,00:26:12:532,(both,1)
00:26:19:460,00:26:42:249,(left,)
00:26:47:207,00:27:48:088,(right,1)
00:28:05:025,00:28:33:198,(,)
00:28:54:430,00:28:56:785,(left,0)
00:28:59:237,00:29:00:563,(,0)
00:29:08:036,00:30:17:080,(,0)
00:30:32:247,00:31:08:437,(left,)
00:31:28:752,00:31:44:775,(right,)
00:32:08:292,00:33:00:162,(both,)
00:34:25:366,00:34:33:477,(left,1)
00:35:14:599,00:35:25:049,(right,)
00:35:46:636,00:36:01:447,(,1)
00:36:09:596,00:36:10:861,(left,1)
00:36:14:324,00:36:36:759,(,0)
00:36:38:694,00:36:41:727,(right,)
00:36:43:007,00:36:44:346,(left,1)
00:37:12:483,00:37:46:466,(left,0)
00:37:56:961,00:38:07:239,(,1)
00:38:24:740,00:38:45:893,(both,1)
00:38:47:096,00:38:51:607,(right,0)
00:38:57:709,00:39:42:314,(right,0)
00:41:43:366,00:41:45:781,(right,1)
00:41:53:146,00:42:30:685,(left,)
00:42:56:737,00:42:58:622,(left,0)
00:43:04:975,00:43:07:742,(,1)
00:43:11:562,00:43:23:971,(both,1)
00:43:26:219,00:43:26:461,(left,0)
00:43:28:044,00:43:29:733,(both,)
00:43:41:365,00:43:56:514,(left,1)
00:43:57:004,00:44:04:351,(left,1)
00:44:13:145,00:44:15:226,(right,1)
00:44:16:125,00:44:20:833,(,0)
00:44:26:094,00:44:53:731,(right,0)
00:45:05:344,00:45:26:407,(,1)
00:45:27:673,00:46:06:509,(,0)
00:46:13:015,00:46:18:007,(left,)
00:46:18:443,00:46:30:947,(right,)
00:47:09:629,00:48:02:264,(,0)
00:48:17:729,00:49:43:767,(left,)
00:50:50:282,00:50:57:933,(right,1)
00:51:14:492,00:51:16:725,(left,1)
00:51:38:827,00:51:54:290,(left,0)
00:51:58:403,00:52:22:339,(right,)
00:52:26:518,00:52:27:785,(left,)
00:52:34:024,00:53:36:292,(,)
00:53:38:493,00:54:02:614,(right,)
00:54:23:642,00:54:25:067,(right,0)
00:54:29:561,00:54:47:329,(both,0)
