#4
childhands (MATRIX,true,)-hand|NOMINAL,look|NOMINAL
00:00:28:846,00:02:37:944,(left,)
00:02:57:790,00:03:04:132,(,1)
00:03:19:152,00:03:21:028,(,1)
00:03:24:120,00:03:46:493,(left,)
00:03:56:796,00:04:11:476,(right,)
00:04:34:095,00:05:15:907,(both,0)
00:05:40:458,00:05:43:197,(right,0)
00:05:43:727,00:05:43:979,(right,)
00:06:03:359,00:06:18:935,(right,)
00:09:28:323,00:12:06:550,(both,1)
00:12:51:498,00:12:55:042,(left,)
00:13:09:640,00:13:12:189,(both,)
00:13:12:585,00:14:12:058,(,0)
00:14:59:116,00:15:32:067,(both,1)
00:15:51:295,00:15:52:334,(both,)
00:16:56:744,00:17:12:712,(right,)
00:17:36:570,00:17:37:247,(both,0)
00:19:19:369,00:19:20:413,(right,0)
00:19:21:218,00:19:25:341,(both,1)
00:20:13:064,00:20:13:506,(right,0)
00:20:18:424,00:20:33:645,(both,0)
00:21:11:426,00:21:19:974,(both,1)
00:22:17:384,00:22:23:786,(,0)
00:22:51:605,00:23:00:760,(left,)
00:25:33:134,00:26:02:035,(left,0)
00:26:26:296,00:26:34:418,(both,0)
00:26:43:341,00:26:59:807,(left,0)
00:27:10:736,00:27:47:573,(,0)
00:27:56:530,00:28:25:107,(left,)
00:28:46:021,00:30:05:236,(left,1)
00:30:27:798,00:30:34:355,(both,1)
00:30:41:804,00:30:47:696,(both,)
00:30:54:064,00:31:17:210,(right,0)
00:31:40:165,00:32:07:930,(both,0)
00:33:19:806,00:33:37:209,(left,)
00:34:17:281,00:35:57:693,(,)
00:39:04:042,00:44:28:651,(left,0)
00:45:42:845,00:45:45:493,(,1)
00:46:07:293,00:46:19:610,(left,1)
00:46:27:161,00:48:59:796,(right,)
00:50:21:944,00:51:07:460,(right,1)
00:51:45:930,00:52:40:287,(,0)
00:52:45:542,00:52:49:199,(both,1)
00:53:54:540,00:54:01:448,(left,)
00:54:14:456,00:54:37:499,(left,0)
00:55:08:080,00:55:15:754,(,0)
00:55:24:344,00:55:52:143,(both,)
00:55:53:373,00:58:24:225,(left,1)
00:58:51:638,00:59:01:286,(left,1)
00:59:31:672,00:59:48:593,(left,0)
parenthands (MATRIX,true,)-hand|NOMINAL,look|NOMINAL
00:01:36:019,00:02:28:073,(,)
00:05:23:576,00:05:44:652,(right,1)
00:05:45:184,00:06:12:673,(,0)
00:06:32:624,00:06:33:581,(right,)
00:06:36:504,00:07:15:797,(,1)
00:08:09:463,00:09:25:105,(both,)
00:09:28:384,00:09:36:733,(both,)
00:10:18:409,00:10:21:604,(both,0)
00:10:26:270,00:11:47:406,(both,0)
00:12:01:675,00:12:08:848,(both,1)
00:12:09:460,00:12:55:459,(left,0)
00:13:11:279,00:13:17:332,(left,1)
00:13:56:015,00:14:00:282,(left,)
00:14:05:607,00:14:15:949,(left,0)
00:15:31:694,00:16:00:470,(right,0)
00:16:10:897,00:16:16:682,(right,0)
00:16:19:244,00:16:42:035,(right,)
00:17:03:235,00:17:03:765,(,)
00:17:06:384,00:17:16:953,(right,0)
00:17:29:863,00:19:17:436,(right,0)
00:19:30:475,00:20:07:963,(both,0)
00:21:43:269,00:21:47:532,(left,0)
00:22:00:905,00:22:06:046,(left,0)
00:22:17:602,00:23:05:918,(both,1)
00:25:15:776,00:25:18:353,(both,0)
00:25:41:269,00:26:33:299,(left,0)
00:27:08:337,00:27:35:879,(both,0)
00:28:30:998,00:28:45:821,(right,0)
00:29:30:096,00:29:32:257,(,)
00:29:54:377,00:29:58:223,(left,1)
00:30:08:971,00:30:12:555,(right,)
00:30:14:426,00:31:29:085,(right,1)
00:31:36:561,00:32:45:114,(left,0)
00:33:20:537,00:33:46:574,(right,1)
00:34:23:967,00:34:25:568,(,1)
00:35:34:725,00:35:35:032,(both,0)
00:36:05:237,00:36:29:055,(both,1)
00:37:31:281,00:38:16:540,(right,1)
00:38:40:142,00:39:25:153,(right,)
00:40:53:858,00:41:11:518,(both,)
00:41:32:197,00:41:39:520,(both,1)
00:41:40:998,00:44:15:690,(right,1)
00:44:26:384,00:44:36:445,(both,1)
00:44:37:711,00:47:13:860,(right,)
00:47:27:101,00:47:46:306,(left,0)
00:49:34:190,00:49:43:931,(right,)
00:50:19:471,00:50:29:202,(both,)
00:50:45:973,00:52:11:518,(right,)
00:54:59:745,00:55:55:651,(right,1)
00:57:36:400,00:58:36:991,(right,0)
